Data export from TecQuipment CE2000

Data series 1

    Time       T1       T2 heater input 
    44.22    2.680    2.535    1.000
    44.29    2.680    2.535    1.000
    44.35    2.680    2.535    1.000
    44.42    2.680    2.535    1.000
    44.48    2.680    2.535    1.000
    44.55    2.680    2.535    1.000
    44.62    2.680    2.535    1.000
    44.68    2.680    2.535    1.000
    44.75    2.680    2.535    1.000
    44.81    2.680    2.535    1.000
    44.88    2.680    2.535    1.000
    44.95    2.680    2.535    1.000
    45.01    2.680    2.535    1.000
    45.08    2.680    2.535    1.000
    45.14    2.680    2.535    1.000
    45.21    2.680    2.535    1.000
    45.28    2.685    2.535    1.000
    45.34    2.680    2.535    1.000
    45.41    2.680    2.535    1.000
    45.47    2.680    2.535    1.000
    45.54    2.685    2.535    1.000
    45.61    2.685    2.535    1.000
    45.67    2.685    2.535    1.000
    45.74    2.685    2.535    1.000
    45.80    2.685    2.535    1.000
    45.87    2.685    2.535    1.000
    45.94    2.685    2.535    1.000
    46.00    2.685    2.535    1.000
    46.07    2.685    2.535    1.000
    46.13    2.685    2.540    1.000
    46.20    2.685    2.540    1.000
    46.27    2.685    2.540    1.000
    46.33    2.685    2.540    1.000
    46.40    2.685    2.540    1.000
    46.46    2.685    2.540    1.000
    46.53    2.685    2.540    1.000
    46.60    2.685    2.540    1.000
    46.66    2.685    2.540    1.000
    46.73    2.685    2.540    1.000
    46.79    2.685    2.540    1.000
    46.86    2.690    2.540    1.000
    46.93    2.690    2.540    1.000
    46.99    2.690    2.540    1.000
    47.06    2.690    2.540    1.000
    47.12    2.690    2.540    1.000
    47.19    2.690    2.540    1.000
    47.26    2.690    2.540    1.000
    47.32    2.690    2.540    1.000
    47.39    2.690    2.540    1.000
    47.45    2.690    2.540    1.000
    47.52    2.690    2.540    1.000
    47.59    2.690    2.540    1.000
    47.65    2.690    2.540    1.000
    47.72    2.690    2.540    1.000
    47.78    2.690    2.540    1.000
    47.85    2.690    2.540    1.000
    47.92    2.690    2.540    1.000
    47.98    2.690    2.540    1.000
    48.05    2.695    2.540    1.000
    48.11    2.695    2.545    1.000
    48.18    2.690    2.540    1.000
    48.25    2.695    2.545    1.000
    48.31    2.695    2.545    1.000
    48.38    2.695    2.545    1.000
    48.44    2.695    2.545    1.000
    48.51    2.695    2.545    1.000
    48.58    2.695    2.545    1.000
    48.64    2.695    2.540    1.000
    48.71    2.695    2.545    1.000
    48.77    2.695    2.545    1.000
    48.84    2.695    2.545    1.000
    48.91    2.695    2.545    1.000
    48.97    2.695    2.545    1.000
    49.04    2.695    2.545    1.000
    49.10    2.695    2.545    1.000
    49.17    2.695    2.545    1.000
    49.24    2.700    2.545    1.000
    49.30    2.695    2.545    1.000
    49.37    2.695    2.545    1.000
    49.43    2.695    2.545    1.000
    49.50    2.695    2.545    1.000
    49.57    2.695    2.545    1.000
    49.63    2.700    2.545    1.000
    49.70    2.700    2.545    1.000
    49.76    2.700    2.545    1.000
    49.83    2.700    2.545    1.000
    49.90    2.700    2.545    1.000
    49.96    2.700    2.545    1.000
    50.03    2.700    2.545    1.000
    50.09    2.700    2.545    1.000
    50.16    2.700    2.545    1.000
    50.23    2.700    2.545    1.000
    50.29    2.700    2.545    1.000
