Data export from TecQuipment CE2000

Data series 2

    Time       T1  shutter setpoint   PI o/p 
    48.60    5.160    0.000    5.000   71.062
    48.70    5.165    0.000    5.000   70.890
    48.80    5.170    0.000    5.000   70.718
    48.90    5.175    0.000    5.000   70.545
    49.00    5.180    0.000    5.000   70.372
    49.10    5.180    0.000    5.000   70.348
    49.20    5.185    0.000    5.000   70.174
    49.30    5.190    0.000    5.000   70.000
    49.40    5.195    0.000    5.000   69.824
    49.50    5.200    0.000    5.000   69.648
    49.60    5.205    0.000    5.000   69.472
    49.70    5.210    0.000    5.000   69.294
    49.80    5.215    0.000    5.000   69.116
    49.90    5.215    0.000    5.000   69.088
    50.00    5.220    0.000    5.000   68.910
    50.10    5.225    0.000    5.000   68.731
    50.20    5.230    0.000    5.000   68.551
    50.30    5.235    0.000    5.000   68.370
    50.40    5.240    0.000    5.000   68.189
    50.50    5.245    0.000    5.000   68.007
    50.60    5.250    0.000    5.000   67.825
    50.70    5.255    0.000    5.000   67.641
    50.80    5.260    0.000    5.000   67.458
    50.90    5.265    0.000    5.000   67.273
    51.00    5.270    0.000    5.000   67.088
    51.10    5.270    0.000    5.000   67.053
    51.20    5.275    0.000    5.000   66.867
    51.30    5.280    0.000    5.000   66.681
    51.40    5.285    0.000    5.000   66.494
    51.50    5.290    0.000    5.000   66.306
    51.60    5.295    0.000    5.000   66.118
    51.70    5.300    0.000    5.000   65.929
    51.80    5.305    0.000    5.000   65.739
    51.90    5.310    0.000    5.000   65.549
    52.00    5.315    0.000    5.000   65.358
    52.10    5.320    0.000    5.000   65.166
    52.20    5.325    0.000    5.000   64.974
    52.30    5.330    0.000    5.000   64.781
    52.40    5.335    0.000    5.000   64.588
    52.50    5.340    0.000    5.000   64.393
    52.60    5.345    0.000    5.000   64.199
    52.70    5.350    0.000    5.000   64.003
    52.80    5.355    0.000    5.000   63.807
    52.90    5.355    0.000    5.000   63.761
    53.00    5.360    0.000    5.000   63.564
    53.10    5.365    0.000    5.000   63.366
    53.20    5.370    0.000    5.000   63.168
    53.30    5.375    0.000    5.000   62.970
    53.40    5.380    0.000    5.000   62.770
    53.50    5.385    0.000    5.000   62.570
    53.60    5.390    0.000    5.000   62.369
    53.70    5.395    0.000    5.000   62.168
    53.80    5.400    0.000    5.000   61.966
    53.90    5.405    0.000    5.000   61.763
    54.00    5.410    0.000    5.000   61.560
    54.10    5.415    0.000    5.000   61.356
    54.20    5.420    0.000    5.000   61.152
    54.30    5.425    0.000    5.000   60.946
    54.40    5.430    0.000    5.000   60.740
    54.50    5.435    0.000    5.000   60.534
    54.60    5.435    0.000    5.000   60.477
    54.70    5.440    0.000    5.000   60.270
    54.80    5.445    0.000    5.000   60.062
    54.90    5.450    0.000    5.000   59.854
    55.00    5.455    0.000    5.000   59.645
    55.10    5.460    0.000    5.000   59.435
    55.20    5.465    0.000    5.000   59.224
    55.30    5.470    0.000    5.000   59.013
    55.40    5.475    0.000    5.000   58.802
    55.50    5.480    0.000    5.000   58.589
    55.60    5.480    0.000    5.000   58.527
    55.70    5.485    0.000    5.000   58.314
    55.80    5.490    0.000    5.000   58.100
    55.90    5.495    0.000    5.000   57.886
    56.00    5.500    0.000    5.000   57.671
    56.10    5.505    0.000    5.000   57.455
    56.20    5.505    0.000    5.000   57.389
    56.30    5.510    0.000    5.000   57.173
    56.40    5.515    0.000    5.000   56.956
    56.50    5.520    0.000    5.000   56.739
    56.60    5.525    0.000    5.000   56.520
    56.70    5.525    0.000    5.000   56.452
    56.80    5.530    0.000    5.000   56.233
    56.90    5.535    0.000    5.000   56.014
    57.00    5.540    0.000    5.000   55.793
